id	docid	question	answer
47a41a03966431739257ef215cdc1caa	015758c216923f89991ca61c67b29f70	工业和信息化部到哪家企业进行督导检查？	北京北铃专用汽车有限公司
17f3894afaba3f24a3ccd550fe442177	356fb8b804d73c3bab18472c36e67a3f	北京市对于因疫情影响暂停举办的展会项目有何支持政策？	如年内继续在京举办且参展中小微企业数量超过参展企业总数50%的，按照不超过实际缴纳场租费用50%的标准给予支持，补助金额不超过50万元。
5f1c9eee4e5a302599f2c5baf674d05a	6488f3b3332b3995a4c60c7e3e3e9993	为切实做好新冠肺炎疫情防控工作，农业农村部启动开展“防控疫情、法治同行”专项法治宣传行动注重哪些方面？	此次专项法治宣传行动注重以案释法，注重运用新媒体新技术，注重把普法融入到相关立法、执法和管理服务过程中。
8b85325949b73adc8a91fe7276673ac4	5e996fbd63c83563985bd24222b4a148	浙江省新型肺炎公共服务与管理平台的访问路径是什么？	 路径1：打开浙里办APP首页→浙江省新型肺炎公共服务与管理平台 路径2：打开浙里办APP国民医疗健康专区→浙江省新型肺炎公共服务与管理平台 
c9e25cd4650d36f488811f65e6ab9a84	99c5f444f76c33589d600d7e8f487067	甘肃省平凉市政务服务中心如何应对疫情问题？	于2月3日（星期一）起，暂停对外办公，具体恢复办理时间待疫情缓解後另行通知。
7721da4299f5337fbcf34eb59cdc43a9	f3bdcc0013733fb7a6a7f37549bb5e62	如何处置哄抬物价、造假等行为？	给予处罚和刑事拘留
380320b7ece133dcae5c2aa6718cba93	34aeec4d64c1367ea48d5c0d64b5054d	工信部向武汉紧急调用了多少物资？	向武汉紧急调用1.4万件防护服、11万双医用手套 自1月23日接到联防联控机制转来武汉物资需求清单后，工信部立即向武汉紧急调用了防护服1.4万件、医用手套11万双；通过协调紧急采购，为武汉落实各类口罩货源300万个，落实防护服货源10万件，落实护目镜2180副；帮助武汉对接了84消毒液、二氧化氯泡腾片等消杀用品和正压式送风系统、手持式红外线测温仪、喷雾机等专用设备货源
7dae4c8341543e5b938efe7d9d8c4e5f	902851584a273dab8694f951d2a75718	上海市交通银行只能对受疫情影响较大行业相关企业提供什么支持？	设置直接融资服务绿色通道。
2a1e5bd12d213e83b3ef15c19876d259	2ba59a4e39cf329cbe0d54a97f6b4371	为缓解疫情对企业的影响各地人社部门有何举措？	通过实施援企稳岗、延缴缓缴社会保险费、重点扶持疫情防控企业等举措，出台系列惠企惠民政策，稳定企业发展。 放宽失业保险稳岗返还标准
5f500a46c2963358a9300c7fc048576a	d368c8a306c03cdb8534ddf4c5206f69	怀柔区城市管理委在加强人员管理方面做了哪些部署？	采用管控重点人员、监控隔离人员、管好工作人员、严控外来人员的方法对人员进行管理。对企业行业内疫情高发区计划返京人员提前告知暂缓返京，对已返京人员实行居家医学隔离，并进行"双报到"登记。加强防控常识宣传，出门佩戴口罩、勤洗手、人与人保持1米安全距离等；对食堂人员严格管理，避免和陌生人接触。企业每日对上岗职工进行体温检测，实行零报告制度。对进出企业的外来人员进行体温检测，实名登记信息，体温合格方可入楼。
16b284f66acd315bb90badb4786fbfcb	2224dc162e2831f693b41749dd361b17	陕西省政府在援企稳岗方面有哪些举措？	坚持不裁员或裁员率不高于上年度全国城镇调查失业率的参保企业（不含淘汰落後产能企业、僵尸企业），失业保险稳岗返还比例由上年度实际缴费的50%提高到60%；符合困难企业稳岗返还条件的，返还标准按６个月的当地月人均失业保险金和上年末失业保险参保人数确定；30人（含）以下小微企业，依法足额缴纳失业保险费且裁员率不超过企业职工总数20%的，参照困难企业稳岗返还政策，给予3个月的失业保险金稳岗返还。
7d42bed4e804370ba62f44ff0a7a9371	8938370855d438d09e117cd3167bc843	南昌市肺炎心理危机干预第一级人群包括哪些?	新型冠状病毒感染的肺炎确诊患者（住院治疗的重症及以上患者）、集中隔离医学观察人员、封闭管理小区人员。疫情防治一线医护人员、疾控人员和管理人员等。
66141a935c6733119af885c77a227f6d	4262b3f6696f3694938c678b119a1350	铁岭市对于运输防控重点物资的收入给予什么政策？	免征增值税
